"track_name","artist_name","album_name","track_popularity"
"Move","Adam Port","Move","91"
"It's Not Right But It's Okay","Mr. Belt & Wezol","It's Not Right But It's Okay","83"
"Somebody (2024)","Gotye","Somebody (2024)","80"
"Happier (feat. Clementine Douglas)","The Blessed Madonna","Happier (feat. Clementine Douglas)","76"
"Sunshine (My Girl)","Wuki","Sunshine (My Girl)","75"
"PICK UP THE PHONE (feat. Nate Dogg)","PAWSA","PICK UP THE PHONE (feat. Nate Dogg)","75"
"Sideways","Gordo","DIAMANTE","75"
"TOO COOL TO BE CARELESS","PAWSA","TOO COOL TO BE CARELESS","74"
"Saving Up","Dom Dolla","Saving Up","74"
"It's That Time - FISHER Remix","Marlon Hoffstadt","It's That Time (FISHER Remix)","73"
